,timestamp,protocol,port,attack_type,severity,event_type,hour,day_of_week,day,month,attack_type_encoded,event_type_encoded,protocol_encoded,severity_rolling_avg,lag_1_attack_type,lag_2_attack_type
0,2025-04-21 12:01:42.053741,TCP,7711,Normal,1.63,File Transfer,12,0,21,4,3,1,1,0.7166666666666667,3.0,3.0
1,2025-04-21 12:02:40.053741,UDP,614,Normal,0.03,File Transfer,12,0,21,4,3,1,2,0.7166666666666667,3.0,3.0
2,2025-04-21 12:03:30.053741,TCP,3539,Normal,0.49,File Transfer,12,0,21,4,3,1,1,0.7166666666666667,3.0,3.0
3,2025-04-21 12:02:36.053741,TCP,1466,Normal,1.33,Login,12,0,21,4,3,2,1,0.6166666666666667,3.0,3.0
4,2025-04-21 12:02:30.053741,UDP,7847,Normal,1.07,Login,12,0,21,4,3,2,2,0.9633333333333334,3.0,3.0
5,2025-04-21 12:06:12.053741,ICMP,5019,Malware,8.35,Suspicious Traffic,12,0,21,4,2,5,0,3.5833333333333335,3.0,3.0
6,2025-04-21 12:05:12.053741,ICMP,5275,Normal,0.71,Exploit Attempt,12,0,21,4,3,0,0,3.3766666666666665,2.0,3.0
7,2025-04-21 12:05:54.053741,ICMP,7602,Normal,1.83,Exploit Attempt,12,0,21,4,3,0,0,3.6300000000000003,3.0,2.0
8,2025-04-21 12:09:34.053741,TCP,846,Normal,2.51,Port Scan,12,0,21,4,3,4,1,1.6833333333333333,3.0,3.0
9,2025-04-21 12:06:48.053741,UDP,1100,Normal,1.7,File Transfer,12,0,21,4,3,1,2,2.013333333333333,3.0,3.0
10,2025-04-21 12:05:12.053741,UDP,2871,DDoS,9.42,Normal Activity,12,0,21,4,1,3,2,4.543333333333333,3.0,3.0
11,2025-04-21 12:07:56.053741,ICMP,2325,Normal,0.75,Normal Activity,12,0,21,4,3,3,0,3.956666666666667,1.0,3.0
12,2025-04-21 12:13:30.053741,UDP,4927,Normal,1.68,File Transfer,12,0,21,4,3,1,2,3.9500000000000006,3.0,1.0
13,2025-04-21 12:02:34.053741,TCP,7338,Normal,0.44,Exploit Attempt,12,0,21,4,3,0,1,0.9566666666666673,3.0,3.0
14,2025-04-21 12:11:44.053741,TCP,4334,Normal,2.31,Exploit Attempt,12,0,21,4,3,0,1,1.4766666666666672,3.0,3.0
15,2025-04-21 12:02:12.053741,TCP,1650,Reconnaissance,8.28,Port Scan,12,0,21,4,5,4,1,3.676666666666667,3.0,3.0
16,2025-04-21 12:05:58.053741,ICMP,6648,Malware,8.13,Exploit Attempt,12,0,21,4,2,0,0,6.240000000000001,5.0,3.0
17,2025-04-21 12:13:19.053741,TCP,3341,Normal,1.29,Login,12,0,21,4,3,2,1,5.8999999999999995,2.0,5.0
18,2025-04-21 12:19:06.053741,UDP,2801,DDoS,8.22,Normal Activity,12,0,21,4,1,3,2,5.880000000000002,3.0,2.0
19,2025-04-21 12:10:34.053741,TCP,2735,Brute Force,7.3,Exploit Attempt,12,0,21,4,0,0,1,5.603333333333334,1.0,3.0
20,2025-04-21 12:02:42.053741,UDP,4297,Normal,0.21,Port Scan,12,0,21,4,3,4,2,5.243333333333335,0.0,1.0
21,2025-04-21 12:20:36.053741,TCP,4941,Normal,0.74,Login,12,0,21,4,3,2,1,2.7500000000000004,3.0,0.0
22,2025-04-21 12:08:40.053741,TCP,6910,Phishing,6.72,Port Scan,12,0,21,4,4,4,1,2.556666666666667,3.0,3.0
23,2025-04-21 12:20:52.053741,TCP,7382,Reconnaissance,6.58,Suspicious Traffic,12,0,21,4,5,5,1,4.680000000000001,4.0,3.0
24,2025-04-21 12:02:06.053741,UDP,1413,Normal,0.84,File Transfer,12,0,21,4,3,1,2,4.713333333333334,5.0,4.0
25,2025-04-21 12:23:22.053741,ICMP,5984,Normal,0.93,Suspicious Traffic,12,0,21,4,3,5,0,2.7833333333333337,3.0,5.0
26,2025-04-21 12:11:14.053741,TCP,5202,Normal,2.77,Normal Activity,12,0,21,4,3,3,1,1.5133333333333339,3.0,3.0
27,2025-04-21 12:05:18.053741,ICMP,4034,Normal,1.11,Normal Activity,12,0,21,4,3,3,0,1.6033333333333342,3.0,3.0
28,2025-04-21 12:18:58.053741,TCP,5253,Normal,2.71,File Transfer,12,0,21,4,3,1,1,2.196666666666667,3.0,3.0
29,2025-04-21 12:14:45.053741,UDP,1128,DDoS,6.19,Suspicious Traffic,12,0,21,4,1,5,2,3.336666666666668,3.0,3.0
30,2025-04-21 12:09:42.053741,ICMP,4748,Normal,1.22,Suspicious Traffic,12,0,21,4,3,5,0,3.373333333333335,1.0,3.0
31,2025-04-21 12:31:40.053741,ICMP,2888,Normal,0.77,Normal Activity,12,0,21,4,3,3,0,2.726666666666668,3.0,1.0
32,2025-04-21 12:12:54.053741,UDP,6909,Normal,2.19,Login,12,0,21,4,3,2,2,1.3933333333333342,3.0,3.0
33,2025-04-21 12:33:03.053741,UDP,4900,Normal,0.99,Login,12,0,21,4,3,2,2,1.3166666666666675,3.0,3.0
34,2025-04-21 12:30:02.053741,UDP,1548,Malware,8.86,File Transfer,12,0,21,4,2,1,2,4.0133333333333345,3.0,3.0
35,2025-04-21 12:02:52.053741,UDP,6537,Normal,0.9,Exploit Attempt,12,0,21,4,3,0,2,3.5833333333333344,2.0,3.0
36,2025-04-21 12:02:54.053741,UDP,2089,Normal,2.95,Normal Activity,12,0,21,4,3,3,2,4.236666666666667,3.0,2.0
37,2025-04-21 12:27:36.053741,UDP,5996,Normal,0.44,Port Scan,12,0,21,4,3,4,2,1.4300000000000013,3.0,3.0
38,2025-04-21 12:30:50.053741,TCP,1959,Normal,1.84,Login,12,0,21,4,3,2,1,1.7433333333333347,3.0,3.0
39,2025-04-21 12:39:24.053741,TCP,1194,Reconnaissance,8.16,Normal Activity,12,0,21,4,5,3,1,3.4800000000000018,3.0,3.0
40,2025-04-21 12:19:42.053741,TCP,7592,DDoS,7.38,File Transfer,12,0,21,4,1,1,1,5.793333333333336,5.0,3.0
41,2025-04-21 12:33:49.053741,UDP,3794,Normal,2.9,Login,12,0,21,4,3,2,2,6.146666666666668,1.0,5.0
42,2025-04-21 12:40:54.053741,ICMP,2696,DDoS,9.41,Port Scan,12,0,21,4,1,4,0,6.563333333333335,3.0,1.0
43,2025-04-21 12:21:46.053741,UDP,2669,Normal,0.49,File Transfer,12,0,21,4,3,1,2,4.266666666666668,1.0,3.0
44,2025-04-21 12:39:06.053741,TCP,1064,Normal,1.21,Port Scan,12,0,21,4,3,4,1,3.703333333333335,3.0,1.0
45,2025-04-21 12:03:12.053741,UDP,6887,Normal,1.58,Suspicious Traffic,12,0,21,4,3,5,2,1.0933333333333353,3.0,3.0
46,2025-04-21 12:44:38.053741,UDP,3810,Phishing,6.48,Normal Activity,12,0,21,4,4,3,2,3.090000000000002,3.0,3.0
47,2025-04-21 12:47:55.053741,ICMP,6850,Normal,1.24,Port Scan,12,0,21,4,3,4,0,3.100000000000002,4.0,3.0
48,2025-04-21 12:08:06.053741,ICMP,5854,DDoS,8.09,Port Scan,12,0,21,4,1,4,0,5.270000000000002,3.0,4.0
49,2025-04-21 12:09:52.053741,UDP,5362,Normal,1.9,Port Scan,12,0,21,4,3,4,2,3.7433333333333354,1.0,3.0
50,2025-04-21 12:34:12.053741,ICMP,7621,DDoS,9.35,Exploit Attempt,12,0,21,4,1,0,0,6.446666666666668,3.0,1.0
51,2025-04-21 12:11:03.053741,TCP,515,Normal,2.34,Suspicious Traffic,12,0,21,4,3,5,1,4.530000000000002,1.0,3.0
52,2025-04-21 12:51:06.053741,UDP,2951,Normal,1.87,Login,12,0,21,4,3,2,2,4.520000000000002,3.0,1.0
53,2025-04-21 12:30:51.053741,TCP,424,Normal,2.49,Suspicious Traffic,12,0,21,4,3,5,1,2.233333333333335,3.0,3.0
54,2025-04-21 12:28:42.053741,UDP,3093,Normal,0.99,File Transfer,12,0,21,4,3,1,2,1.7833333333333352,3.0,3.0
55,2025-04-21 12:29:12.053741,UDP,4359,Normal,0.2,Exploit Attempt,12,0,21,4,3,0,2,1.2266666666666686,3.0,3.0
56,2025-04-21 12:17:34.053741,UDP,923,Normal,0.39,Port Scan,12,0,21,4,3,4,2,0.5266666666666685,3.0,3.0
57,2025-04-21 12:27:21.053741,UDP,1065,DDoS,7.85,Normal Activity,12,0,21,4,1,3,2,2.813333333333335,3.0,3.0
58,2025-04-21 12:10:24.053741,TCP,5433,Normal,1.45,Login,12,0,21,4,3,2,1,3.2300000000000018,1.0,3.0
59,2025-04-21 12:58:44.053741,UDP,1742,DDoS,8.37,Exploit Attempt,12,0,21,4,1,0,2,5.890000000000001,3.0,1.0
60,2025-04-21 12:34:42.053741,TCP,3225,DDoS,7.41,Suspicious Traffic,12,0,21,4,1,5,1,5.743333333333335,1.0,3.0
61,2025-04-21 12:57:37.053741,ICMP,2183,DDoS,7.1,Login,12,0,21,4,1,2,0,7.626666666666668,1.0,1.0
62,2025-04-21 12:57:30.053741,TCP,195,Normal,0.33,Port Scan,12,0,21,4,3,4,1,4.946666666666668,1.0,1.0
63,2025-04-21 13:03:39.053741,ICMP,1276,Normal,2.13,File Transfer,13,0,21,4,3,1,0,3.1866666666666688,3.0,1.0
64,2025-04-21 12:12:22.053741,TCP,3638,Normal,1.11,Suspicious Traffic,12,0,21,4,3,5,1,1.190000000000002,3.0,3.0
65,2025-04-21 12:35:17.053741,TCP,1349,Phishing,9.26,Normal Activity,12,0,21,4,4,3,1,4.166666666666669,3.0,3.0
