,Unnamed: 0,timestamp,protocol,port,attack_type,severity,event_type,hour,day_of_week,day,month,attack_type_encoded,event_type_encoded,protocol_encoded
0,0,2025-04-21 12:01:42.053741,TCP,7711,Normal,1.63,File Transfer,12,0,21,4,3,1,1
1,1,2025-04-21 12:02:40.053741,UDP,614,Normal,0.03,File Transfer,12,0,21,4,3,1,2
2,2,2025-04-21 12:03:30.053741,TCP,3539,Normal,0.49,File Transfer,12,0,21,4,3,1,1
3,3,2025-04-21 12:02:36.053741,TCP,1466,Normal,1.33,Login,12,0,21,4,3,2,1
4,4,2025-04-21 12:02:30.053741,UDP,7847,Normal,1.07,Login,12,0,21,4,3,2,2
5,5,2025-04-21 12:06:12.053741,ICMP,5019,Malware,8.35,Suspicious Traffic,12,0,21,4,2,5,0
6,6,2025-04-21 12:05:12.053741,ICMP,5275,Normal,0.71,Exploit Attempt,12,0,21,4,3,0,0
7,7,2025-04-21 12:05:54.053741,ICMP,7602,Normal,1.83,Exploit Attempt,12,0,21,4,3,0,0
8,8,2025-04-21 12:09:34.053741,TCP,846,Normal,2.51,Port Scan,12,0,21,4,3,4,1
9,9,2025-04-21 12:06:48.053741,UDP,1100,Normal,1.7,File Transfer,12,0,21,4,3,1,2
10,10,2025-04-21 12:05:12.053741,UDP,2871,DDoS,9.42,Normal Activity,12,0,21,4,1,3,2
11,11,2025-04-21 12:07:56.053741,ICMP,2325,Normal,0.75,Normal Activity,12,0,21,4,3,3,0
12,12,2025-04-21 12:13:30.053741,UDP,4927,Normal,1.68,File Transfer,12,0,21,4,3,1,2
13,13,2025-04-21 12:02:34.053741,TCP,7338,Normal,0.44,Exploit Attempt,12,0,21,4,3,0,1
14,14,2025-04-21 12:11:44.053741,TCP,4334,Normal,2.31,Exploit Attempt,12,0,21,4,3,0,1
15,15,2025-04-21 12:02:12.053741,TCP,1650,Reconnaissance,8.28,Port Scan,12,0,21,4,5,4,1
16,16,2025-04-21 12:05:58.053741,ICMP,6648,Malware,8.13,Exploit Attempt,12,0,21,4,2,0,0
17,17,2025-04-21 12:13:19.053741,TCP,3341,Normal,1.29,Login,12,0,21,4,3,2,1
18,18,2025-04-21 12:19:06.053741,UDP,2801,DDoS,8.22,Normal Activity,12,0,21,4,1,3,2
19,19,2025-04-21 12:10:34.053741,TCP,2735,Brute Force,7.3,Exploit Attempt,12,0,21,4,0,0,1
20,20,2025-04-21 12:02:42.053741,UDP,4297,Normal,0.21,Port Scan,12,0,21,4,3,4,2
21,21,2025-04-21 12:20:36.053741,TCP,4941,Normal,0.74,Login,12,0,21,4,3,2,1
22,22,2025-04-21 12:08:40.053741,TCP,6910,Phishing,6.72,Port Scan,12,0,21,4,4,4,1
23,23,2025-04-21 12:20:52.053741,TCP,7382,Reconnaissance,6.58,Suspicious Traffic,12,0,21,4,5,5,1
24,24,2025-04-21 12:02:06.053741,UDP,1413,Normal,0.84,File Transfer,12,0,21,4,3,1,2
25,25,2025-04-21 12:23:22.053741,ICMP,5984,Normal,0.93,Suspicious Traffic,12,0,21,4,3,5,0
26,26,2025-04-21 12:11:14.053741,TCP,5202,Normal,2.77,Normal Activity,12,0,21,4,3,3,1
27,27,2025-04-21 12:05:18.053741,ICMP,4034,Normal,1.11,Normal Activity,12,0,21,4,3,3,0
28,28,2025-04-21 12:18:58.053741,TCP,5253,Normal,2.71,File Transfer,12,0,21,4,3,1,1
29,29,2025-04-21 12:14:45.053741,UDP,1128,DDoS,6.19,Suspicious Traffic,12,0,21,4,1,5,2
30,30,2025-04-21 12:09:42.053741,ICMP,4748,Normal,1.22,Suspicious Traffic,12,0,21,4,3,5,0
31,31,2025-04-21 12:31:40.053741,ICMP,2888,Normal,0.77,Normal Activity,12,0,21,4,3,3,0
32,32,2025-04-21 12:12:54.053741,UDP,6909,Normal,2.19,Login,12,0,21,4,3,2,2
33,33,2025-04-21 12:33:03.053741,UDP,4900,Normal,0.99,Login,12,0,21,4,3,2,2
34,34,2025-04-21 12:30:02.053741,UDP,1548,Malware,8.86,File Transfer,12,0,21,4,2,1,2
35,35,2025-04-21 12:02:52.053741,UDP,6537,Normal,0.9,Exploit Attempt,12,0,21,4,3,0,2
36,36,2025-04-21 12:02:54.053741,UDP,2089,Normal,2.95,Normal Activity,12,0,21,4,3,3,2
37,37,2025-04-21 12:27:36.053741,UDP,5996,Normal,0.44,Port Scan,12,0,21,4,3,4,2
38,38,2025-04-21 12:30:50.053741,TCP,1959,Normal,1.84,Login,12,0,21,4,3,2,1
39,39,2025-04-21 12:39:24.053741,TCP,1194,Reconnaissance,8.16,Normal Activity,12,0,21,4,5,3,1
40,40,2025-04-21 12:19:42.053741,TCP,7592,DDoS,7.38,File Transfer,12,0,21,4,1,1,1
41,41,2025-04-21 12:33:49.053741,UDP,3794,Normal,2.9,Login,12,0,21,4,3,2,2
42,42,2025-04-21 12:40:54.053741,ICMP,2696,DDoS,9.41,Port Scan,12,0,21,4,1,4,0
43,43,2025-04-21 12:21:46.053741,UDP,2669,Normal,0.49,File Transfer,12,0,21,4,3,1,2
44,44,2025-04-21 12:39:06.053741,TCP,1064,Normal,1.21,Port Scan,12,0,21,4,3,4,1
45,45,2025-04-21 12:03:12.053741,UDP,6887,Normal,1.58,Suspicious Traffic,12,0,21,4,3,5,2
46,46,2025-04-21 12:44:38.053741,UDP,3810,Phishing,6.48,Normal Activity,12,0,21,4,4,3,2
47,47,2025-04-21 12:47:55.053741,ICMP,6850,Normal,1.24,Port Scan,12,0,21,4,3,4,0
48,48,2025-04-21 12:08:06.053741,ICMP,5854,DDoS,8.09,Port Scan,12,0,21,4,1,4,0
49,49,2025-04-21 12:09:52.053741,UDP,5362,Normal,1.9,Port Scan,12,0,21,4,3,4,2
50,50,2025-04-21 12:34:12.053741,ICMP,7621,DDoS,9.35,Exploit Attempt,12,0,21,4,1,0,0
51,51,2025-04-21 12:11:03.053741,TCP,515,Normal,2.34,Suspicious Traffic,12,0,21,4,3,5,1
52,52,2025-04-21 12:51:06.053741,UDP,2951,Normal,1.87,Login,12,0,21,4,3,2,2
53,53,2025-04-21 12:30:51.053741,TCP,424,Normal,2.49,Suspicious Traffic,12,0,21,4,3,5,1
54,54,2025-04-21 12:28:42.053741,UDP,3093,Normal,0.99,File Transfer,12,0,21,4,3,1,2
55,55,2025-04-21 12:29:12.053741,UDP,4359,Normal,0.2,Exploit Attempt,12,0,21,4,3,0,2
56,56,2025-04-21 12:17:34.053741,UDP,923,Normal,0.39,Port Scan,12,0,21,4,3,4,2
57,57,2025-04-21 12:27:21.053741,UDP,1065,DDoS,7.85,Normal Activity,12,0,21,4,1,3,2
58,58,2025-04-21 12:10:24.053741,TCP,5433,Normal,1.45,Login,12,0,21,4,3,2,1
59,59,2025-04-21 12:58:44.053741,UDP,1742,DDoS,8.37,Exploit Attempt,12,0,21,4,1,0,2
60,60,2025-04-21 12:34:42.053741,TCP,3225,DDoS,7.41,Suspicious Traffic,12,0,21,4,1,5,1
61,61,2025-04-21 12:57:37.053741,ICMP,2183,DDoS,7.1,Login,12,0,21,4,1,2,0
62,62,2025-04-21 12:57:30.053741,TCP,195,Normal,0.33,Port Scan,12,0,21,4,3,4,1
63,63,2025-04-21 13:03:39.053741,ICMP,1276,Normal,2.13,File Transfer,13,0,21,4,3,1,0
64,64,2025-04-21 12:12:22.053741,TCP,3638,Normal,1.11,Suspicious Traffic,12,0,21,4,3,5,1
65,65,2025-04-21 12:35:17.053741,TCP,1349,Phishing,9.26,Normal Activity,12,0,21,4,4,3,1
66,66,2025-04-21 12:28:06.053741,UDP,1083,Normal,0.49,Login,12,0,21,4,3,2,2
67,67,2025-04-21 13:06:28.053741,TCP,7105,Normal,2.08,File Transfer,13,0,21,4,3,1,1
68,68,2025-04-21 13:09:42.053741,ICMP,1972,Normal,2.11,File Transfer,13,0,21,4,3,1,0
69,69,2025-04-21 12:56:54.053741,ICMP,4697,Normal,0.34,Exploit Attempt,12,0,21,4,3,0,0
70,70,2025-04-21 12:11:02.053741,TCP,1436,Normal,3.0,Normal Activity,12,0,21,4,3,3,1
71,71,2025-04-21 12:18:16.053741,TCP,2735,Normal,2.26,File Transfer,12,0,21,4,3,1,1
72,72,2025-04-21 12:06:30.053741,UDP,306,Normal,0.71,Suspicious Traffic,12,0,21,4,3,5,2
73,73,2025-04-21 12:47:56.053741,ICMP,2478,Normal,1.2,File Transfer,12,0,21,4,3,1,0
74,74,2025-04-21 13:03:22.053741,UDP,5450,Normal,0.14,Port Scan,13,0,21,4,3,4,2
75,75,2025-04-21 13:05:27.053741,TCP,5652,Normal,1.21,Exploit Attempt,13,0,21,4,3,0,1
76,76,2025-04-21 13:17:42.053741,TCP,1757,Normal,2.79,Normal Activity,13,0,21,4,3,3,1
77,77,2025-04-21 13:18:42.053741,UDP,2031,Normal,1.31,Port Scan,13,0,21,4,3,4,2
78,78,2025-04-21 12:57:36.053741,ICMP,4806,Normal,2.52,Exploit Attempt,12,0,21,4,3,0,0
79,79,2025-04-21 12:20:08.053741,ICMP,5246,Normal,2.93,Exploit Attempt,12,0,21,4,3,0,0
80,80,2025-04-21 13:04:22.053741,UDP,587,Normal,2.42,Port Scan,13,0,21,4,3,4,2
81,81,2025-04-21 12:17:54.053741,ICMP,7372,Normal,0.27,Login,12,0,21,4,3,2,0
82,82,2025-04-21 12:15:22.053741,TCP,6024,DDoS,8.28,File Transfer,12,0,21,4,1,1,1
83,83,2025-04-21 13:03:57.053741,TCP,4539,Normal,1.95,Normal Activity,13,0,21,4,3,3,1
84,84,2025-04-21 13:17:18.053741,UDP,3359,Normal,1.11,Exploit Attempt,13,0,21,4,3,0,2
85,85,2025-04-21 12:37:07.053741,TCP,4649,Normal,1.2,Normal Activity,12,0,21,4,3,3,1
86,86,2025-04-21 13:03:20.053741,UDP,7807,Normal,1.45,Port Scan,13,0,21,4,3,4,2
87,87,2025-04-21 12:24:54.053741,UDP,5949,Normal,2.76,Port Scan,12,0,21,4,3,4,2
88,88,2025-04-21 12:31:02.053741,TCP,5221,Normal,0.19,File Transfer,12,0,21,4,3,1,1
89,89,2025-04-21 13:04:00.053741,TCP,2601,Brute Force,6.77,Login,13,0,21,4,0,2,1
90,90,2025-04-21 12:37:42.053741,ICMP,860,Normal,2.43,Normal Activity,12,0,21,4,3,3,0
91,91,2025-04-21 12:53:16.053741,TCP,6654,Normal,1.54,Exploit Attempt,12,0,21,4,3,0,1
92,92,2025-04-21 13:01:30.053741,TCP,6642,Normal,2.68,Port Scan,13,0,21,4,3,4,1
93,93,2025-04-21 12:43:33.053741,UDP,7772,Normal,1.25,Login,12,0,21,4,3,2,2
94,94,2025-04-21 12:17:22.053741,ICMP,1261,Normal,0.54,Port Scan,12,0,21,4,3,4,0
95,95,2025-04-21 13:09:47.053741,TCP,2432,Normal,1.4,Exploit Attempt,13,0,21,4,3,0,1
96,96,2025-04-21 13:29:42.053741,TCP,3007,Malware,7.2,Login,13,0,21,4,2,2,1
97,97,2025-04-21 13:33:51.053741,TCP,7272,Normal,2.69,File Transfer,13,0,21,4,3,1,1
98,98,2025-04-21 12:09:52.053741,UDP,5985,Normal,2.07,Suspicious Traffic,12,0,21,4,3,5,2
99,99,2025-04-21 12:46:15.053741,ICMP,4912,Normal,1.94,Login,12,0,21,4,3,2,0
100,100,2025-04-21 13:33:22.053741,UDP,2263,Normal,1.37,Suspicious Traffic,13,0,21,4,3,5,2
101,101,2025-04-21 12:53:53.053741,UDP,6407,Normal,2.74,File Transfer,12,0,21,4,3,1,2
102,102,2025-04-21 13:42:00.053741,TCP,4160,Normal,1.33,Port Scan,13,0,21,4,3,4,1
103,103,2025-04-21 12:53:12.053741,UDP,5481,Normal,2.75,Login,12,0,21,4,3,2,2
104,104,2025-04-21 12:20:46.053741,TCP,4164,Normal,2.89,File Transfer,12,0,21,4,3,1,1
105,105,2025-04-21 13:09:57.053741,TCP,6094,Normal,0.39,Login,13,0,21,4,3,2,1
106,106,2025-04-21 13:42:24.053741,TCP,2054,Normal,1.28,Port Scan,13,0,21,4,3,4,1
107,107,2025-04-21 13:46:55.053741,TCP,5711,Normal,1.24,File Transfer,13,0,21,4,3,1,1
108,108,2025-04-21 13:22:42.053741,TCP,6358,Normal,0.75,Normal Activity,13,0,21,4,3,3,1
109,109,2025-04-21 13:27:05.053741,ICMP,1218,Normal,2.41,Exploit Attempt,13,0,21,4,3,0,0
110,110,2025-04-21 12:32:52.053741,UDP,7304,Normal,2.21,Port Scan,12,0,21,4,3,4,2
111,111,2025-04-21 13:04:36.053741,UDP,2265,Normal,0.7,Normal Activity,13,0,21,4,3,3,2
112,112,2025-04-21 12:18:30.053741,TCP,4785,Normal,1.03,Suspicious Traffic,12,0,21,4,3,5,1
113,113,2025-04-21 13:50:56.053741,UDP,2949,Normal,2.06,Port Scan,13,0,21,4,3,4,2
114,114,2025-04-21 13:12:00.053741,ICMP,5034,Normal,1.36,Login,13,0,21,4,3,2,0
