,timestamp,source_ip,destination_ip,protocol,port,attack_type,severity,event_type
0,2025-04-21 12:01:42.053741,88.235.227.242,221.165.7.163,TCP,7711,Normal,1.63,File Transfer
1,2025-04-21 12:02:40.053741,14.70.151.24,170.84.42.118,UDP,614,Normal,0.03,File Transfer
2,2025-04-21 12:03:30.053741,211.40.173.134,47.111.208.159,TCP,3539,Normal,0.49,File Transfer
3,2025-04-21 12:02:36.053741,195.38.182.26,21.121.70.62,TCP,1466,Normal,1.33,Login
4,2025-04-21 12:02:30.053741,115.76.57.141,75.134.5.143,UDP,7847,Normal,1.07,Login
5,2025-04-21 12:06:12.053741,19.92.91.21,199.114.181.64,ICMP,5019,Malware,8.35,Suspicious Traffic
6,2025-04-21 12:05:12.053741,125.41.147.136,57.131.131.144,ICMP,5275,Normal,0.71,Exploit Attempt
7,2025-04-21 12:05:54.053741,102.59.73.48,175.134.22.230,ICMP,7602,Normal,1.83,Exploit Attempt
8,2025-04-21 12:09:34.053741,145.180.121.187,122.240.64.130,TCP,846,Normal,2.51,Port Scan
9,2025-04-21 12:06:48.053741,107.28.9.95,86.175.159.121,UDP,1100,Normal,1.7,File Transfer
10,2025-04-21 12:05:12.053741,19.198.143.152,81.12.36.244,UDP,2871,DDoS,9.42,Normal Activity
11,2025-04-21 12:07:56.053741,141.43.241.155,239.38.237.207,ICMP,2325,Normal,0.75,Normal Activity
12,2025-04-21 12:13:30.053741,72.164.134.52,187.100.130.159,UDP,4927,Normal,1.68,File Transfer
13,2025-04-21 12:02:34.053741,187.106.98.183,19.71.12.214,TCP,7338,Normal,0.44,Exploit Attempt
14,2025-04-21 12:11:44.053741,27.66.59.12,88.50.241.247,TCP,4334,Normal,2.31,Exploit Attempt
15,2025-04-21 12:02:12.053741,124.107.2.133,50.250.51.223,TCP,1650,Reconnaissance,8.28,Port Scan
16,2025-04-21 12:05:58.053741,248.36.113.18,197.6.172.37,ICMP,6648,Malware,8.13,Exploit Attempt
17,2025-04-21 12:13:19.053741,20.39.174.48,162.70.24.131,TCP,3341,Normal,1.29,Login
18,2025-04-21 12:19:06.053741,87.125.207.242,220.211.157.111,UDP,2801,DDoS,8.22,Normal Activity
19,2025-04-21 12:10:34.053741,129.87.253.105,248.203.240.142,TCP,2735,Brute Force,7.3,Exploit Attempt
20,2025-04-21 12:02:42.053741,10.235.161.32,19.177.63.167,UDP,4297,Normal,0.21,Port Scan
21,2025-04-21 12:20:36.053741,39.76.240.170,237.140.45.189,TCP,4941,Normal,0.74,Login
22,2025-04-21 12:08:40.053741,95.13.113.88,142.40.100.61,TCP,6910,Phishing,6.72,Port Scan
23,2025-04-21 12:20:52.053741,11.227.74.203,44.85.79.72,TCP,7382,Reconnaissance,6.58,Suspicious Traffic
24,2025-04-21 12:02:06.053741,39.93.94.243,0.225.81.208,UDP,1413,Normal,0.84,File Transfer
25,2025-04-21 12:23:22.053741,51.181.223.33,204.144.70.239,ICMP,5984,Normal,0.93,Suspicious Traffic
26,2025-04-21 12:11:14.053741,192.22.72.128,167.168.112.151,TCP,5202,Normal,2.77,Normal Activity
27,2025-04-21 12:05:18.053741,190.87.146.153,243.30.255.254,ICMP,4034,Normal,1.11,Normal Activity
28,2025-04-21 12:18:58.053741,38.230.207.207,160.250.107.106,TCP,5253,Normal,2.71,File Transfer
29,2025-04-21 12:14:45.053741,218.171.121.237,133.28.254.152,UDP,1128,DDoS,6.19,Suspicious Traffic
30,2025-04-21 12:09:42.053741,97.27.193.239,59.23.66.0,ICMP,4748,Normal,1.22,Suspicious Traffic
31,2025-04-21 12:31:40.053741,48.179.215.53,75.136.24.2,ICMP,2888,Normal,0.77,Normal Activity
32,2025-04-21 12:12:54.053741,185.166.100.20,248.99.238.251,UDP,6909,Normal,2.19,Login
33,2025-04-21 12:33:03.053741,88.87.129.8,98.0.28.56,UDP,4900,Normal,0.99,Login
34,2025-04-21 12:30:02.053741,153.75.238.19,156.166.118.15,UDP,1548,Malware,8.86,File Transfer
35,2025-04-21 12:02:52.053741,184.158.198.174,168.65.254.72,UDP,6537,Normal,0.9,Exploit Attempt
36,2025-04-21 12:02:54.053741,9.56.111.46,111.48.7.238,UDP,2089,Normal,2.95,Normal Activity
37,2025-04-21 12:27:36.053741,198.141.17.130,185.45.233.97,UDP,5996,Normal,0.44,Port Scan
38,2025-04-21 12:30:50.053741,110.197.214.138,122.4.35.7,TCP,1959,Normal,1.84,Login
39,2025-04-21 12:39:24.053741,255.195.3.232,166.83.58.40,TCP,1194,Reconnaissance,8.16,Normal Activity
40,2025-04-21 12:19:42.053741,225.59.224.141,55.207.170.197,TCP,7592,DDoS,7.38,File Transfer
41,2025-04-21 12:33:49.053741,90.112.173.60,94.174.141.11,UDP,3794,Normal,2.9,Login
42,2025-04-21 12:40:54.053741,144.189.199.166,68.63.253.233,ICMP,2696,DDoS,9.41,Port Scan
